site,att,subjectID,lineLength,pCorrect,pSeen
0,1,11,7,0.983050847457627,0.983050847457627
0,1,12,1,0.701388888888889,0.152777777777778
0,1,12,2,0.888888888888889,0.361111111111111
0,1,12,3,0.965277777777778,0.6875
0,1,12,4,0.958333333333333,0.8125
0,1,12,5,0.986111111111111,0.840277777777778
0,1,12,6,0.986111111111111,0.909722222222222
0,1,12,7,0.979166666666667,0.923611111111111
0,1,13,1,0.618055555555556,0.138888888888889
0,1,13,2,0.694444444444444,0.458333333333333
0,1,13,3,0.8125,0.763888888888889
0,1,13,4,0.902777777777778,0.909722222222222
0,1,13,5,0.958333333333333,0.958333333333333
0,1,13,6,0.958333333333333,0.965277777777778
0,1,13,7,0.979166666666667,0.986111111111111
0,1,14,1,0.641666666666667,0.025
0,1,14,2,0.783333333333333,0.183333333333333
0,1,14,3,0.891666666666667,0.316666666666667
0,1,14,4,0.958333333333333,0.55
0,1,14,5,0.958333333333333,0.616666666666667
0,1,14,6,0.975,0.775
0,1,14,7,0.983333333333333,0.933333333333333
0,1,15,1,0.611111111111111,0.638888888888889
0,1,15,2,0.881944444444444,0.861111111111111
0,1,15,3,0.930555555555556,0.944444444444444
