expt,subjectID,site,cueValidity,seen,pCorrectSeen,pCorrectSeenFeature
2,S0087,0,1,1,0.978458049886621,0.988148148148148
2,S0092,0,-1,0,0.521739130434783,0.51004016064257
2,S0092,0,0,0,0.517006802721088,0.530054644808743
2,S0092,0,1,0,0.518828451882845,0.534351145038168
2,S0092,0,-1,1,0.542635658914729,0.586206896551724
2,S0092,0,0,1,0.788359788359788,0.836601307189543
2,S0092,0,1,1,0.947984395318596,0.955764075067024
2,S0095,0,-1,0,0.52970297029703,0.547528517110266
2,S0095,0,0,0,0.576576576576577,0.634920634920635
2,S0095,0,1,0,0.564625850340136,0.796296296296296
2,S0095,0,-1,1,0.653846153846154,0.823529411764706
2,S0095,0,0,1,0.822485207100592,0.912087912087912
2,S0095,0,1,1,0.952380952380952,0.977941176470588
2,S0090,0,-1,0,0.555555555555556,0.666666666666667
2,S0090,0,0,0,0.647058823529412,0.575
2,S0090,0,1,0,0.533333333333333,0.6
2,S0090,0,-1,1,0.763754045307443,0.765567765567766
2,S0090,0,0,1,0.818181818181818,0.841216216216216
2,S0090,0,1,1,0.92938733125649,0.942265795206972
2,045,1,-1,0,0.525641025641026,0.544776119402985
2,045,1,0,0,0.509803921568627,0.534246575342466
2,045,1,1,0,0.457731958762887,0.496197718631179
2,045,1,-1,1,0.833333333333333,0.911764705882353
2,045,1,0,1,0.977272727272727,0.991452991452991
2,045,1,1,1,0.996175908221797,1
2,047,1,-1,0,0.521929824561403,0.547058823529412
2,047,1,0,0,0.483720930232558,0.547368421052632
2,047,1,1,0,0.506796116504854,0.618008185538881
2,047,1,-1,1,0.745454545454545,0.898148148148148
2,047,1,0,1,0.88412017167382,0.94478527607362
2,047,1,1,1,0.942098914354644,0.963993453355156
2,048,1,-1,0,0.544642857142857,0.571428571428571
2,048,1,0,0,0.525641025641026,0.681818181818182
2,048,1,1,0,0.555555555555556,0.797642436149312
2,048,1,-1,1,0.678571428571429,0.828571428571429
2,048,1,0,1,0.821917808219178,0.854166666666667
2,048,1,1,1,0.931237721021611,0.975308641975309
2,049,1,-1,0,0.520833333333333,0.574712643678161
2,049,1,0,0,0.612903225806452,0.632352941176471
2,049,1,1,0,0.593582887700535,0.71044776119403
2,049,1,-1,1,0.722826086956522,0.783018867924528
2,049,1,0,1,0.830275229357798,0.923611111111111
2,049,1,1,1,0.94478527607362,0.970238095238095
2,050,1,-1,0,0.493975903614458,0.521505376344086
2,050,1,0,0,0.507936507936508,0.604519774011299
2,050,1,1,0,0.51219512195122,0.728
2,050,1,-1,1,0.591836734693878,0.645161290322581
2,050,1,0,1,0.728110599078341,0.805825242718447
2,050,1,1,1,0.894319682959049,0.961206896551724
2,051,1,-1,0,0.432432432432432,0.483870967741935
2,051,1,0,0,0.611650485436893,0.639269406392694
2,051,1,1,0,0.795,0.867617107942974
2,051,1,-1,1,0.611702127659574,0.670454545454545
2,051,1,0,1,0.793991416309013,0.923076923076923
2,051,1,1,1,0.967821782178218,0.996131528046422
2,052,1,-1,0,0.753138075313807,0.771217712177122
2,052,1,0,0,0.795121951219512,0.841509433962264
2,052,1,1,0,0.864661654135338,0.904214559386973
2,052,1,-1,1,0.926829268292683,1
2,052,1,0,1,1,1
2,052,1,1,1,0.990228013029316,1
2,054,1,-1,0,0.522292993630573,0.621908127208481
2,054,1,0,0,0.520408163265306,0.7265625
2,054,1,1,0,0.525,0.813353566009105
2,054,1,-1,1,0.776536312849162,0.849056603773585
2,054,1,0,1,0.899159663865546,0.9875
2,054,1,1,1,0.986979166666667,0.997134670487106
2,056,1,-1,0,0.5,0.558659217877095
2,056,1,0,0,0.551724137931034,0.701492537313433
2,056,1,1,0,0.5,0.779850746268657
2,056,1,-1,1,0.626923076923077,0.722772277227723
2,056,1,0,1,0.804780876494024,0.849315068493151
2,056,1,1,1,0.901985111662531,0.936842105263158
2,057,1,-1,0,0.460176991150442,0.516587677725118
2,057,1,0,0,0.493333333333333,0.632258064516129
2,057,1,1,0,0.692982456140351,0.818791946308725
2,057,1,-1,1,0.656626506024096,0.764705882352941
2,057,1,0,1,0.868292682926829,0.936
2,057,1,1,1,0.964187327823691,0.987084870848708
2,058,1,-1,0,0.39622641509434,0.505681818181818
2,058,1,0,0,0.523809523809524,0.545454545454545
2,058,1,1,0,0.6,0.773519163763066
2,058,1,-1,1,0.625441696113074,0.68125
2,058,1,0,1,0.736507936507937,0.854922279792746
2,058,1,1,1,0.960129310344828,0.994452149791956
2,059,1,-1,0,0.458015267175573,0.562231759656652
2,059,1,0,0,0.504347826086956,0.56441717791411
2,059,1,1,0,0.557620817843866,0.616519174041298
2,059,1,-1,1,0.795121951219512,0.893203883495146
2,059,1,0,1,0.886877828054299,0.936416184971098
2,059,1,1,1,0.976995940460081,0.991031390134529
2,060,1,-1,0,0.425,0.50761421319797
2,060,1,0,0,0.372093023255814,0.462585034013605
2,060,1,1,0,0.492063492063492,0.53156146179402
2,060,1,-1,1,0.628378378378378,0.741007194244604
2,060,1,0,1,0.733788395904437,0.862433862433862
2,060,1,1,1,0.881272949816401,0.926241134751773
2,061,1,-1,0,0.467532467532468,0.547244094488189
2,061,1,0,0,0.473214285714286,0.583732057416268
2,061,1,1,0,0.485714285714286,0.68836291913215
2,061,1,-1,1,0.725274725274725,0.792682926829268
2,061,1,0,1,0.839285714285714,0.937007874015748
2,061,1,1,1,0.903508771929825,0.946107784431138
2,062,1,-1,0,0.517857142857143,0.641592920353982
2,062,1,0,0,0.543478260869565,0.711111111111111
2,062,1,1,0,0.46195652173913,0.755148741418764
2,062,1,-1,1,0.803571428571429,0.888888888888889
2,062,1,0,1,0.936170212765957,0.98
2,062,1,1,1,0.981707317073171,0.990074441687345
